"","player","team","position","headshot_url","season","source","rec_yds_line","rec_yds_over_price","rec_yds_under_price","rec_tds_line","rec_tds_over_price","rec_tds_under_price","rush_yds_line","rush_yds_over_price","rush_yds_under_price","rush_tds_line","rush_tds_over_price","rush_tds_under_price","pass_yds_line","pass_yds_over_price","pass_yds_under_price","pass_tds_line","pass_tds_over_price","pass_tds_under_price","rush_yds_expected","rush_tds_expected","rec_yds_expected","rec_tds_expected","pass_yds_expected","pass_tds_expected","implied_fantasy_points","date"
"1","Josh Allen","BUF","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/servs1fpsynfxep4rz2z","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,500.5,-114,-114,10.5,-104,-128,3775.5,-114,-114,27.5,112,-148,533.242990654206,11.2218782249742,NA,NA,4022.4953271028,29.3204503956178,398.837183081849,2025-08-09
"2","Lamar Jackson","BAL","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cruqs6qpbykh7a2whd7p","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,750.5,-114,-114,3.5,-178,132,3475.5,-114,-114,28.5,-114,-114,799.598130841121,3.85425452741255,NA,NA,3702.8691588785,30.3644859813084,372.658050528961,2025-08-09
"3","Lamar Jackson","ATL","DB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dyromxr6nuv5r1nleua2","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,750.5,-114,-114,3.5,-178,132,3475.5,-114,-114,28.5,-114,-114,799.598130841121,3.85425452741255,NA,NA,3702.8691588785,30.3644859813084,372.658050528961,2025-08-09
"4","Jalen Hurts","PHI","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k2p5yb4qmqwoo3qcapgt","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,600.5,-114,-114,12.5,104,-138,3200.5,-114,-114,19.5,-144,106,639.785046728972,13.3305322128852,NA,NA,3409.8785046729,21.0265796593984,364.463156774718,2025-08-09
"5","Jayden Daniels","WAS","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mh9rkwpmq1rgfarg9rpm","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,675.5,-114,-114,5.5,-130,-102,3425.5,-114,-114,24.5,114,-158,719.691588785047,5.91605682307361,NA,NA,3649.59813084112,26.3799174092589,358.969094687627,2025-08-09
"6","Joe Burrow","CIN","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gnnvcgui1cijybukk2w7","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200.5,-114,-114,33.5,-122,-108,NA,NA,NA,NA,4475.29906542056,35.8193000693001,322.289162894023,2025-08-09
"7","Kyler Murray","ARI","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/flezsremqighwuiyu77f","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,475.5,-114,-114,4.5,122,-162,3375.5,-114,-114,20.5,100,-132,506.607476635514,4.72553469500034,NA,NA,3596.32710280374,21.8793103448276,310.384281325013,2025-08-09
"8","Caleb Williams","CHI","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,400.5,-114,-114,NA,NA,NA,3625.5,-114,-114,22.5,-136,102,426.700934579439,NA,NA,NA,3862.68224299065,24.1453263970465,293.758688765756,2025-08-09
"9","Baker Mayfield","TB","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i2uufyghiphx4oihgucm","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3825.5,-114,-114,30.5,112,-148,NA,NA,NA,NA,4075.76635514019,32.5258673158856,293.13412346915,2025-08-09
"10","Patrick Mahomes","KC","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iireqbn32cpg9fn4sfy7","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000.5,-114,-114,27.5,-114,-114,NA,NA,NA,NA,4262.21495327103,29.2990654205607,287.684859813084,2025-08-09
"11","Jared Goff","DET","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yggfwr4ak4po9byj0qor","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3875.5,-114,-114,28.5,-102,-130,NA,NA,NA,NA,4129.03738317757,30.4696513129574,287.040100578932,2025-08-09
"12","Justin Fields","NYJ","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vqcvybvs1vlqhkjvujbg","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,650.5,-114,-114,6.5,-114,-114,2600.5,-114,-114,14.5,-108,-122,693.056074766355,6.92523364485981,NA,NA,2770.6261682243,15.4821552321552,283.610677003387,2025-08-09
"13","Dak Prescott","DAL","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/blixemm3s9sa4gmqk5yn","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3875.5,-114,-114,26.5,-102,-130,NA,NA,NA,NA,4129.03738317757,28.3293155402497,278.478757488102,2025-08-09
"14","Brock Purdy","SF","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3850.5,-114,-114,24.5,100,-132,NA,NA,NA,NA,4102.40186915888,26.1551724137931,268.716764421528,2025-08-09
"15","Jordan Love","GB","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a8xqle2vmsnumawdhswb","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3550.5,-114,-114,25.5,-112,-118,NA,NA,NA,NA,3782.77570093458,27.2679591483469,260.382864630771,2025-08-09
"16","JJ McCarthy","MIN","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omybnfokapjw6jwb5dd3","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3575.5,-114,-114,24.5,-102,-132,NA,NA,NA,NA,3809.41121495327,26.2789347900307,257.492187758254,2025-08-09
"17","Trevor Lawrence","JAX","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d75srntioly7fq0z8vip","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3750.5,-114,-114,22.5,-106,-125,NA,NA,NA,NA,3995.85981308411,24.0571736785329,256.063087237496,2025-08-09
"18","CJ Stroud","HOU","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3825.5,-114,-114,21.5,-108,-122,NA,NA,NA,NA,4075.76635514019,22.9636174636175,254.885124060077,2025-08-09
"19","Bo Nix","DEN","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500.5,-114,-114,24.5,-114,-114,NA,NA,NA,NA,3729.5046728972,26.1028037383178,253.591401869159,2025-08-09
"20","Justin Herbert","LAC","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1oelyaroiaalgilbeqk","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3650.5,-114,-114,22.5,-114,-114,NA,NA,NA,NA,3889.31775700935,23.9719626168224,251.460560747664,2025-08-09
"21","Saquon Barkley","PHI","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ugiuanl8bf6uoya5mgid","2025-26","FanDuel",275.5,-114,-114,NA,NA,NA,1400.5,-114,-114,10.5,-122,-108,NA,NA,NA,NA,NA,NA,1492.1214953271,11.2373527373527,293.523364485981,NA,NA,NA,245.988602405425,2025-08-09
