"","player","team","position","headshot_url","date","pass_yds_line","pass_yds_over_price","pass_yds_under_price","rush_yds_line","rush_yds_over_price","rush_yds_under_price","rec_yds_line","rec_yds_over_price","rec_yds_under_price","pass_tds_line","pass_tds_over_price","pass_tds_under_price","rush_tds_line","rush_tds_over_price","rush_tds_under_price","rec_tds_line","rec_tds_over_price","rec_tds_under_price","rush_yds_expected","rush_tds_expected","rec_yds_expected","rec_tds_expected","pass_yds_expected","pass_tds_expected","implied_fantasy_points"
"1","Josh Allen","BUF","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjwbioajzldkq1vzoz2d",2026-09-04,3600.5,-114,-114,500.5,-114,-114,NA,NA,NA,24.5,-120,-110,10.5,-128,-104,NA,NA,NA,533.242990654206,11.2734778121775,NA,NA,3836.04672897196,26.2077922077922,379.238203928533
"2","Drake Maye","NE","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1nmoon2xnrc3bnyulv4",2026-09-04,3750.5,-114,-114,400.5,-114,-114,NA,NA,NA,25.5,-144,108,3.5,-108,-122,NA,NA,NA,426.700934579439,3.72557172557173,NA,NA,3995.85981308411,27.3634930643127,334.31188859199
"3","Lamar Jackson","BAL","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eno6s5qzl9grbfbfwhoa",2026-09-04,3200.5,-114,-114,550.5,-114,-114,NA,NA,NA,24.5,-122,-108,3.5,-130,-102,NA,NA,NA,586.514018691589,3.77572105036591,NA,NA,3409.8785046729,26.2002772002772,322.501977159379
"4","Jalen Hurts","PHI","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xow5yvxjeqa6witmofmp",2026-09-04,3150.5,-114,-114,425.5,-114,-114,NA,NA,NA,21.5,-122,-108,7.5,-148,112,NA,NA,NA,453.336448598131,8.07608034083993,NA,NA,3356.60747663551,22.9939362439362,320.030170946018
"5","Jayden Daniels","WAS","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gfz8k5onuqjrche9ogqc",2026-09-04,3100.5,-114,-114,525.5,-115,-115,NA,NA,NA,21.5,-102,-130,4.5,100,-130,NA,NA,NA,562.162790697674,4.76086956521739,NA,NA,3303.33644859813,22.9784761084804,308.828858838919
"6","Joe Burrow","CIN","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gnnvcgui1cijybukk2w7",2026-09-04,3875.5,-115,-115,NA,NA,NA,NA,NA,NA,32.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4145.88372093023,34.6261682242991,304.340021734406
"7","Jaxson Dart","NYG","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n6uymxssgiicjmxkzxoc",2026-09-04,3100.5,-114,-114,475.5,-114,-114,NA,NA,NA,19.5,-108,-122,5.5,-118,-112,NA,NA,NA,506.607476635514,5.88921585598061,NA,NA,3303.33644859813,20.8260568260568,301.433728047588
"8","Jared Goff","DET","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kaicbot8qhzrvddilbtp",2026-09-04,4050.5,-114,-114,NA,NA,NA,NA,NA,NA,29.5,-108,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4315.48598130841,31.51386001386,298.674879307777
"9","Justin Herbert","LAC","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jnkspnntgebegzp4ghve",2026-09-04,3600.5,-114,-114,300.5,-115,-115,NA,NA,NA,25.5,-108,-122,NA,NA,NA,NA,NA,NA,321.46511627907,NA,NA,NA,3836.04672897196,27.2387387387387,294.54333574174
"10","Matthew Stafford","LAR","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jwpkjfrkzufdyh8u1mg7",2026-09-04,3825.5,-114,-114,NA,NA,NA,NA,NA,NA,29.5,-132,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4075.76635514019,31.5689655172414,289.306516274573
"11","Dak Prescott","DAL","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yvscmqq1qki8zfsemmcd",2026-09-04,3950.5,-114,-114,NA,NA,NA,NA,NA,NA,27.5,-102,-130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4208.94392523364,29.3994834266035,285.95569071576
"12","Jahmyr Gibbs","DET","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cursejnmmp1i9hnxihkj",2026-09-04,NA,NA,NA,1200.5,-114,-114,475.5,-114,-114,NA,NA,NA,11.5,-166,120,3.5,100,-130,1279.03738317757,12.4887218045113,506.607476635514,3.69565217391304,NA,NA,275.670729851854
"13","Brock Purdy","SF","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xs2fyj1sqdgwvt9ihbri",2026-09-04,3700.5,-114,-114,NA,NA,NA,NA,NA,NA,27.5,-108,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3942.58878504673,29.3762993762994,275.208748907067
"14","Jordan Love","GB","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thz8stjkbjwddxqnozi5",2026-09-04,3700.5,-114,-114,NA,NA,NA,NA,NA,NA,26.5,-108,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3942.58878504673,28.3075190575191,270.933627631945
"15","Trevor Lawrence","JAX","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k9uzdernqkx7oquy7dkg",2026-09-04,3750.5,-114,-114,NA,NA,NA,NA,NA,NA,25.5,-102,-130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3995.85981308411,27.2591476538958,268.870983138948
"16","Bijan Robinson","ATL","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/esii5yb8yn9edboi4mlq",2026-09-04,NA,NA,NA,1150.5,-114,-114,575.5,-115,-115,NA,NA,NA,9.5,-108,-122,3.5,110,-140,1225.76635514019,10.1382536382536,615.651162790698,3.6547619047619,NA,NA,266.899845051182
"17","Patrick Mahomes","KC","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wdckwtob1lybvkmxnf7p",2026-09-04,3550.5,-115,-115,NA,NA,NA,NA,NA,NA,25.5,-105,-125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3798.20930232558,27.2059620596206,260.752220331506
"18","Caleb Williams","CHI","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",2026-09-04,3650.5,-114,-114,NA,NA,NA,NA,NA,NA,24.5,-122,-108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3889.31775700935,26.2002772002772,260.373819081483
"19","Baker Mayfield","TB","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gjb8e69jtt1ffqf1afue",2026-09-04,3500.5,-114,-114,NA,NA,NA,NA,NA,NA,25.5,102,-136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3729.5046728972,27.2780667897298,258.292454074807
"20","Sam Darnold","SEA","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fyay8vruj0cqmhopufzk",2026-09-04,3650.5,-114,-114,NA,NA,NA,NA,NA,NA,23.5,-102,-130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3889.31775700935,25.1188118811881,256.047957805126
