"","player","team","position","headshot_url","date","pass_yds_line","pass_yds_over_price","pass_yds_under_price","rush_yds_line","rush_yds_over_price","rush_yds_under_price","rec_yds_line","rec_yds_over_price","rec_yds_under_price","pass_tds_line","pass_tds_over_price","pass_tds_under_price","rush_tds_line","rush_tds_over_price","rush_tds_under_price","rec_tds_line","rec_tds_over_price","rec_tds_under_price","rush_yds_expected","rush_tds_expected","rec_yds_expected","rec_tds_expected","pass_yds_expected","pass_tds_expected","implied_fantasy_points"
"1","Josh Allen","BUF","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/servs1fpsynfxep4rz2z",2026-08-21,3600.5,-114,-114,500.5,-114,-114,NA,NA,NA,24.5,-120,-110,10.5,-128,-104,NA,NA,NA,533.242990654206,11.2734778121775,NA,NA,3836.04672897196,26.2077922077922,379.238203928533
"2","Drake Maye","NE","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyap81gtzcvnfmripis1",2026-08-21,3750.5,-114,-114,400.5,-114,-114,NA,NA,NA,25.5,-144,108,3.5,-108,-122,NA,NA,NA,426.700934579439,3.72557172557173,NA,NA,3995.85981308411,27.3634930643127,334.31188859199
"3","Lamar Jackson","BAL","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cruqs6qpbykh7a2whd7p",2026-08-21,3200.5,-114,-114,550.5,-114,-114,NA,NA,NA,24.5,104,-138,3.5,-130,-102,NA,NA,NA,586.514018691589,3.77572105036591,NA,NA,3409.8785046729,26.1708683473389,322.384341747626
"4","Jalen Hurts","PHI","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/c47i9v6gmokkun9cat9s",2026-08-21,3150.5,-114,-114,400.5,-114,-114,NA,NA,NA,21.5,-122,-108,7.5,-148,112,NA,NA,NA,426.700934579439,8.07608034083993,NA,NA,3356.60747663551,22.9939362439362,317.366619544149
"5","Jaxson Dart","NYG","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n6uymxssgiicjmxkzxoc",2026-08-21,3100.5,-114,-114,475.5,-114,-114,NA,NA,NA,19.5,-108,-122,5.5,-118,-112,NA,NA,NA,506.607476635514,5.88921585598061,NA,NA,3303.33644859813,20.8260568260568,301.433728047588
"6","Jared Goff","DET","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yggfwr4ak4po9byj0qor",2026-08-21,4050.5,-114,-114,NA,NA,NA,NA,NA,NA,29.5,-108,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4315.48598130841,31.51386001386,298.674879307777
"7","Matthew Stafford","LAR","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2026-08-21,3825.5,-114,-114,NA,NA,NA,NA,NA,NA,29.5,-132,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4075.76635514019,31.5689655172414,289.306516274573
"8","Dak Prescott","DAL","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/blixemm3s9sa4gmqk5yn",2026-08-21,4000.5,-114,-114,NA,NA,NA,NA,NA,NA,27.5,-108,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4262.21495327103,29.3762993762994,287.993795636039
"9","Brock Purdy","SF","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj",2026-08-21,3775.5,-114,-114,NA,NA,NA,NA,NA,NA,27.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4022.4953271028,29.2990654205607,278.096074766355
"10","Trevor Lawrence","JAX","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d75srntioly7fq0z8vip",2026-08-21,3750.5,-114,-114,NA,NA,NA,NA,NA,NA,25.5,-102,-130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3995.85981308411,27.2591476538958,268.870983138948
"11","Baker Mayfield","TB","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i2uufyghiphx4oihgucm",2026-08-21,3500.5,-114,-114,NA,NA,NA,NA,NA,NA,25.5,-102,-130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3729.5046728972,27.2591476538958,258.216777531471
"12","Justin Herbert","LAC","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1oelyaroiaalgilbeqk",2026-08-21,3500.5,-114,-114,NA,NA,NA,NA,NA,NA,25.5,-108,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3729.5046728972,27.2387387387387,258.135141870843
"13","Caleb Williams","CHI","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",2026-08-21,3575.5,-114,-114,NA,NA,NA,NA,NA,NA,24.5,100,-132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3809.41121495327,26.1551724137931,256.997138253303
"14","Jordan Love","GB","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uneiwen9drvci9ahuebp",2026-08-21,3500.5,-114,-114,NA,NA,NA,NA,NA,NA,24.5,-102,-130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3729.5046728972,26.188979767542,253.936105986056
