"player","team","date","pass_yds_line","pass_yds_over_price","pass_yds_under_price","rush_yds_line","rush_yds_over_price","rush_yds_under_price","rec_yds_line","rec_yds_over_price","rec_yds_under_price","pass_tds_line","pass_tds_over_price","pass_tds_under_price","rush_tds_line","rush_tds_over_price","rush_tds_under_price","rec_tds_line","rec_tds_over_price","rec_tds_under_price"
"Ladd McConkey","LAC",2026-09-04,NA,NA,NA,NA,NA,NA,900.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-110,-120
"Tee Higgins","CIN",2026-09-04,NA,NA,NA,NA,NA,NA,900.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-115,-115
"Luther Burden","CHI",2026-09-04,NA,NA,NA,NA,NA,NA,850.5,-114,-114,NA,NA,NA,NA,NA,NA,4.5,100,-130
"DJ Moore","BUF",2026-09-04,NA,NA,NA,NA,NA,NA,825.5,-115,-115,NA,NA,NA,NA,NA,NA,6.5,125,-155
"Marvin Harrison","ARI",2026-09-04,NA,NA,NA,NA,NA,NA,800.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,115,-145
"Colston Loveland","CHI",2026-09-04,NA,NA,NA,NA,NA,NA,825.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-140,110
"DK Metcalf","PIT",2026-09-04,NA,NA,NA,NA,NA,NA,800.5,-115,-115,NA,NA,NA,NA,NA,NA,5.5,100,-130
"Rome Odunze","CHI",2026-09-04,NA,NA,NA,NA,NA,NA,800.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-115,-115
"Parker Washington","JAX",2026-09-04,NA,NA,NA,NA,NA,NA,850.5,-115,-115,NA,NA,NA,NA,NA,NA,4.5,-120,-110
"Mike Evans","SF",2026-09-04,NA,NA,NA,NA,NA,NA,775.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,100,-130
"Tre Watson","",2026-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davante Adams","LAR",2026-09-04,NA,NA,NA,NA,NA,NA,750.5,-114,-114,NA,NA,NA,NA,NA,NA,9.5,110,-130
"Tyler Warren","IND",2026-09-04,NA,NA,NA,NA,NA,NA,750.5,-114,-114,NA,NA,NA,NA,NA,NA,4.5,-160,130
"Christian Watson","GB",2026-09-04,NA,NA,NA,NA,NA,NA,825.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,100,-130
"Carnell Tate","TEN",2026-09-04,NA,NA,NA,NA,NA,NA,775.5,-114,-114,NA,NA,NA,NA,NA,NA,4.5,140,-180
"Kyle Pitts","ATL",2026-09-04,NA,NA,NA,NA,NA,NA,725.5,-114,-114,NA,NA,NA,NA,NA,NA,4.5,100,-130
"Michael Pittman","PIT",2026-09-04,NA,NA,NA,NA,NA,NA,750.5,-115,-114,NA,NA,NA,NA,NA,NA,4.5,125,-155
"Kayshon Boutte","HOU",2026-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Keenan Allen","IND",2026-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jalen Coker","CAR",2026-09-04,NA,NA,NA,NA,NA,NA,625.5,-115,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Makai Lemon","PHI",2026-09-04,NA,NA,NA,NA,NA,NA,575.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evan Engram","DEN",2026-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Wilson","ARI",2026-09-04,NA,NA,NA,NA,NA,NA,699.5,-115,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Godwin","TB",2026-09-04,NA,NA,NA,NA,NA,NA,675.5,-115,-115,NA,NA,NA,NA,NA,NA,4.5,-115,-115
"George Kittle","SF",2026-09-04,NA,NA,NA,NA,NA,NA,700.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-110,-120
"Courtland Sutton","DEN",2026-09-04,NA,NA,NA,NA,NA,NA,725.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,110,-140
"Harold Fannin","CLE",2026-09-04,NA,NA,NA,NA,NA,NA,675.5,-115,-115,NA,NA,NA,NA,NA,NA,7.5,600,NA
"Tucker Kraft","GB",2026-09-04,NA,NA,NA,NA,NA,NA,700.5,-115,-115,NA,NA,NA,NA,NA,NA,4.5,-175,140
"Brian Thomas","JAX",2026-09-04,NA,NA,NA,NA,NA,NA,675.5,-115,-115,NA,NA,NA,NA,NA,NA,4.5,110,-140
"Jayden Reed","GB",2026-09-04,NA,NA,NA,NA,NA,NA,675.5,-115,-115,NA,NA,NA,NA,NA,NA,7.5,260,NA
"Jordan Addison","MIN",2026-09-04,NA,NA,NA,NA,NA,NA,650.5,-115,-115,NA,NA,NA,NA,NA,NA,4.5,-115,-115
"Quentin Johnston","LAC",2026-09-04,NA,NA,NA,NA,NA,NA,675.5,-115,-115,NA,NA,NA,NA,NA,NA,5.5,100,-130
"Travis Kelce","KC",2026-09-04,NA,NA,NA,NA,NA,NA,675.5,-114,-114,NA,NA,NA,NA,NA,NA,4.5,110,-140
"Wan'Dale Robinson","TEN",2026-09-04,NA,NA,NA,NA,NA,NA,725.5,-115,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matthew Golden","GB",2026-09-04,NA,NA,NA,NA,NA,NA,650.5,-115,-115,NA,NA,NA,NA,NA,NA,7.5,850,NA
"Romeo Doubs","NE",2026-09-04,NA,NA,NA,NA,NA,NA,625.5,-115,-115,NA,NA,NA,NA,NA,NA,4.5,-125,-105
"De'Zhaun Stribling","SF",2026-09-04,NA,NA,NA,NA,NA,NA,700.5,-115,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isaiah Likely","NYG",2026-09-04,NA,NA,NA,NA,NA,NA,625.5,-120,-110,NA,NA,NA,NA,NA,NA,3.5,-105,-125
"Deebo Samuel","SF",2026-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KC Concepcion","CLE",2026-09-04,NA,NA,NA,NA,NA,NA,600.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juwan Johnson","NO",2026-09-04,NA,NA,NA,NA,NA,NA,575.5,-115,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA
