"","player","team","position","headshot_url","date","pass_yds_line","pass_yds_over_price","pass_yds_under_price","rush_yds_line","rush_yds_over_price","rush_yds_under_price","rec_yds_line","rec_yds_over_price","rec_yds_under_price","pass_tds_line","pass_tds_over_price","pass_tds_under_price","rush_tds_line","rush_tds_over_price","rush_tds_under_price","rec_tds_line","rec_tds_over_price","rec_tds_under_price","rush_yds_expected","rush_tds_expected","rec_yds_expected","rec_tds_expected","pass_yds_expected","pass_tds_expected","implied_fantasy_points"
"1","Drake Maye","NE","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyap81gtzcvnfmripis1",2026-07-02,3800.5,-114,-114,400.5,-114,-114,NA,NA,NA,25.5,-122,-108,NA,NA,NA,NA,NA,NA,426.700934579439,NA,NA,NA,4049.13084112149,27.2690575190575,313.711557179034
"2","Josh Allen","BUF","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/servs1fpsynfxep4rz2z",2026-07-02,3600.5,-114,-114,500.5,-114,-114,NA,NA,NA,24.5,-120,-110,NA,NA,NA,NA,NA,NA,533.242990654206,NA,NA,NA,3836.04672897196,26.2077922077922,311.597337055468
"3","Lamar Jackson","BAL","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cruqs6qpbykh7a2whd7p",2026-07-02,3200.5,-114,-114,575.5,-114,-114,NA,NA,NA,24.5,104,-138,NA,NA,NA,NA,NA,NA,613.14953271028,NA,NA,NA,3409.8785046729,26.1708683473389,302.3935668473
"4","Jared Goff","DET","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yggfwr4ak4po9byj0qor",2026-07-02,4050.5,-114,-114,NA,NA,NA,NA,NA,NA,29.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4315.48598130841,31.4299065420561,298.339065420561
"5","Matthew Stafford","LAR","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2026-07-02,3925.5,-114,-114,NA,NA,NA,NA,NA,NA,29.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4182.30841121495,31.4299065420561,293.011962616822
"6","Dak Prescott","DAL","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/blixemm3s9sa4gmqk5yn",2026-07-02,4050.5,-114,-114,NA,NA,NA,NA,NA,NA,27.5,-108,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4315.48598130841,29.3762993762994,290.124636757534
"7","Brock Purdy","SF","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj",2026-07-02,3650.5,-114,-114,NA,NA,NA,NA,NA,NA,27.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3889.31775700935,29.2990654205607,272.768971962617
"8","Jalen Hurts","PHI","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/c47i9v6gmokkun9cat9s",2026-07-02,3150.5,-114,-114,400.5,-114,-114,NA,NA,NA,21.5,-122,-108,NA,NA,NA,NA,NA,NA,426.700934579439,NA,NA,NA,3356.60747663551,22.9939362439362,268.910137499109
"9","Trevor Lawrence","JAX","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d75srntioly7fq0z8vip",2026-07-02,3750.5,-114,-114,NA,NA,NA,NA,NA,NA,25.5,-102,-130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3995.85981308411,27.2591476538958,268.870983138948
"10","Justin Herbert","LAC","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1oelyaroiaalgilbeqk",2026-07-02,3600.5,-114,-114,NA,NA,NA,NA,NA,NA,25.5,-108,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3836.04672897196,27.2387387387387,262.396824113833
