"","player","team","position","headshot_url","date","pass_yds_line","pass_yds_over_price","pass_yds_under_price","rush_yds_line","rush_yds_over_price","rush_yds_under_price","rec_yds_line","rec_yds_over_price","rec_yds_under_price","pass_tds_line","pass_tds_over_price","pass_tds_under_price","rush_tds_line","rush_tds_over_price","rush_tds_under_price","rec_tds_line","rec_tds_over_price","rec_tds_under_price","rush_yds_expected","rush_tds_expected","rec_yds_expected","rec_tds_expected","pass_yds_expected","pass_tds_expected","implied_fantasy_points"
"16","Bo Nix","DEN","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea",2025-08-31,3500.5,-114,-114,NA,NA,NA,NA,NA,NA,24.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3729.5046728972,26.1028037383178,253.591401869159
"17","Justin Herbert","LAC","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1oelyaroiaalgilbeqk",2025-08-31,3650.5,-114,-114,NA,NA,NA,NA,NA,NA,22.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3889.31775700935,23.9719626168224,251.460560747664
"18","Saquon Barkley","PHI","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ern1nbhivkmwkg82c7v1",2025-08-31,NA,NA,NA,1375.5,-114,-114,275.5,-114,-114,NA,NA,NA,10.5,-122,-108,NA,NA,NA,1465.48598130841,11.2373527373527,293.523364485981,NA,NA,NA,243.325051003556
"19","Tua Tagovailoa","MIA","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pcoqwncqonnjbty2ezub",2025-08-31,3425.5,-114,-114,NA,NA,NA,NA,NA,NA,22.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3649.59813084112,23.9719626168224,241.871775700935
"20","Geno Smith","LV","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tqy0933vz5yogwlefb1s",2025-08-31,3600.5,-114,-114,NA,NA,NA,NA,NA,NA,20.5,100,-132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3836.04672897196,21.8793103448276,240.959110538189
"21","Bijan Robinson","ATL","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rjaf9auhx3lrktzgwpfb",2025-08-31,NA,NA,NA,1200.5,-114,-114,375.5,-114,-114,NA,NA,NA,10.5,112,-148,NA,NA,NA,1279.03738317757,11.1564211807669,400.065420560748,NA,NA,NA,234.848807458433
"22","Sam Darnold","SEA","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gklkfelgulirrnwrb8nh",2025-08-31,3350.5,-114,-114,NA,NA,NA,NA,NA,NA,20.5,112,-148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3569.69158878505,21.8411442483262,230.152240544707
"23","Jahmyr Gibbs","DET","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hjxk3judytgsxkqiilre",2025-08-31,NA,NA,NA,1100.5,-114,-114,425.5,-114,-114,NA,NA,NA,10.5,112,-148,NA,NA,NA,1172.4953271028,11.1564211807669,453.336448598131,NA,NA,NA,229.521704654695
"24","Michael Penix","ATL","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/azvyjzp2sa8cnljbp3i7",2025-08-31,3400.5,-114,-114,NA,NA,NA,NA,NA,NA,18.5,-130,-104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3622.96261682243,19.9156010230179,224.580908764969
"25","Derrick Henry","BAL","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jxtikemnvpkw9r0ex2wv",2025-08-31,NA,NA,NA,1325.5,-114,-114,NA,NA,NA,NA,NA,NA,12.5,-130,-102,NA,NA,NA,1412.21495327103,13.4072320275506,NA,NA,NA,NA,221.664887492406
"26","Bryce Young","CAR","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",2025-08-31,3200.5,-114,-114,NA,NA,NA,NA,NA,NA,18.5,-102,-130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3409.8785046729,19.7679724494189,215.467029984591
"27","Cameron Ward","TEN",NA,NA,2025-08-31,3200.5,-114,-114,NA,NA,NA,NA,NA,NA,18.5,100,-132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3409.8785046729,19.7413793103448,215.360657428295
"28","JaMarr Chase","CIN","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw",2025-08-31,NA,NA,NA,NA,NA,NA,1325.5,-114,-114,NA,NA,NA,NA,NA,NA,10.5,-130,-102,NA,NA,1412.21495327103,11.2668962548429,NA,NA,208.82287285616
"29","Christian McCaffrey","SF","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/resjdwihunsqckohcorj",2025-08-31,NA,NA,NA,950.5,-114,-114,425.5,-114,-114,NA,NA,NA,7.5,-114,-114,NA,NA,NA,1012.68224299065,7.99065420560748,453.336448598131,NA,NA,NA,194.545794392523
"30","Jonathan Taylor","IND","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uwmnrhwtwug0wrgkomjk",2025-08-31,NA,NA,NA,1200.5,-114,-114,NA,NA,NA,NA,NA,NA,9.5,-102,-130,NA,NA,NA,1279.03738317757,10.1364614722342,NA,NA,NA,NA,188.722507151162
